File,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
C:\Users\Brandon\eclipse-workspace\Sigma Editor\src\elara\assets\DefaultIcons.java,64,40,30,6,9,0,15,62,5,15
C:\Users\Brandon\eclipse-workspace\Sigma Editor\src\elara\assets\Keyboard.java,17,5,3,0,2,0,10,27,5,15
C:\Users\Brandon\eclipse-workspace\Sigma Editor\src\elara\assets\KeyState.java,20,8,2,0,2,0,10,25,5,15
C:\Users\Brandon\eclipse-workspace\Sigma Editor\src\elara\assets\Layer.java,39,15,9,1,6,0,18,48,5,15
C:\Users\Brandon\eclipse-workspace\Sigma Editor\src\elara\assets\Sound.java,29,14,8,1,4,0,11,29,5,15
C:\Users\Brandon\eclipse-workspace\Sigma Editor\src\elara\assets\Texture.java,82,52,33,6,14,0,16,42,0,0
C:\Users\Brandon\eclipse-workspace\Sigma Editor\src\elara\editor\Constants.java,21,7,5,0,5,0,9,20,0,0
C:\Users\Brandon\eclipse-workspace\Sigma Editor\src\elara\editor\debug\Log.java,55,37,21,3,11,0,7,23,0,0
C:\Users\Brandon\eclipse-workspace\Sigma Editor\src\elara\editor\debug\LogType.java,20,9,2,0,4,5,7,67,0,0
C:\Users\Brandon\eclipse-workspace\Sigma Editor\src\elara\editor\debug\QLogger.java,127,63,48,4,23,0,41,208,0,0
C:\Users\Brandon\eclipse-workspace\Sigma Editor\src\elara\editor\debug\SigmaException.java,47,30,16,2,11,0,6,15,0,0
C:\Users\Brandon\eclipse-workspace\Sigma Editor\src\elara\editor\debug\StackTraceUtil.java,32,12,8,1,6,0,14,45,0,0
C:\Users\Brandon\eclipse-workspace\Sigma Editor\src\elara\editor\debug\StaticLogs.java,29,14,10,0,5,0,10,28,5,15
C:\Users\Brandon\eclipse-workspace\Sigma Editor\src\elara\editor\input\Mouse.java,61,42,25,9,9,0,10,22,0,0
C:\Users\Brandon\eclipse-workspace\Sigma Editor\src\elara\editor\input\MouseState.java,18,6,2,0,2,0,10,22,0,0
C:\Users\Brandon\eclipse-workspace\Sigma Editor\src\elara\editor\rendering\RenderUpdateThread.java,49,28,17,1,9,1,12,54,0,0
C:\Users\Brandon\eclipse-workspace\Sigma Editor\src\elara\editor\ui\EngineLoadingDialog.java,74,42,34,0,11,0,21,62,0,0
C:\Users\Brandon\eclipse-workspace\Sigma Editor\src\elara\editor\ui\ErrorDialog.java,112,83,75,1,20,0,9,21,0,0
C:\Users\Brandon\eclipse-workspace\Sigma Editor\src\elara\editor\ui\Main.java,48,24,15,0,11,2,13,55,0,0
C:\Users\Brandon\eclipse-workspace\Sigma Editor\src\elara\editor\ui\MainWindow.java,479,327,275,8,87,0,65,196,0,0
C:\Users\Brandon\eclipse-workspace\Sigma Editor\src\elara\editor\ui\NewProjectDialog.java,209,174,129,9,21,0,14,40,5,15
C:\Users\Brandon\eclipse-workspace\Sigma Editor\src\elara\editor\ui\RenderPanel.java,328,235,150,27,49,0,44,166,0,0
C:\Users\Brandon\eclipse-workspace\Sigma Editor\src\elara\editor\ui\TextureLayerDialog.java,178,124,99,7,28,0,26,93,5,15
C:\Users\Brandon\eclipse-workspace\Sigma Editor\src\elara\editor\ui\WaitingDialog.java,60,35,29,0,7,0,18,47,5,15
C:\Users\Brandon\eclipse-workspace\Sigma Editor\src\elara\editor\ui\customlists\LayerJList.java,35,13,8,0,5,0,17,53,5,15
C:\Users\Brandon\eclipse-workspace\Sigma Editor\src\elara\editor\ui\customlists\LayerListRenderer.java,42,22,13,1,7,0,13,31,5,15
C:\Users\Brandon\eclipse-workspace\Sigma Editor\src\elara\editor\ui\customlists\SoundJList.java,68,32,20,1,7,0,29,106,5,15
C:\Users\Brandon\eclipse-workspace\Sigma Editor\src\elara\editor\ui\customlists\SoundListRenderer.java,51,31,19,2,7,0,13,31,5,15
C:\Users\Brandon\eclipse-workspace\Sigma Editor\src\elara\editor\ui\customlists\TextureJList.java,78,44,31,2,10,0,24,78,5,15
C:\Users\Brandon\eclipse-workspace\Sigma Editor\src\elara\editor\ui\customlists\TextureListRenderer.java,68,41,28,3,12,0,15,52,5,15
C:\Users\Brandon\eclipse-workspace\Sigma Editor\src\elara\editor\util\JSONFormatter.java,28,15,11,1,3,0,10,29,5,15
C:\Users\Brandon\eclipse-workspace\Sigma Editor\src\elara\editor\util\OSDetector.java,45,24,12,5,9,0,12,39,0,0
C:\Users\Brandon\eclipse-workspace\Sigma Editor\src\elara\project\AssetLoader.java,41,17,12,1,5,0,19,65,0,0
C:\Users\Brandon\eclipse-workspace\Sigma Editor\src\elara\project\AssetType.java,15,5,2,0,3,0,7,11,0,0
C:\Users\Brandon\eclipse-workspace\Sigma Editor\src\elara\project\EditingContext.java,210,70,37,7,29,0,111,398,5,15
C:\Users\Brandon\eclipse-workspace\Sigma Editor\src\elara\project\GameModel.java,157,68,38,8,23,0,66,220,5,15
C:\Users\Brandon\eclipse-workspace\Sigma Editor\src\elara\project\ProjectContext.java,140,62,36,7,20,0,58,226,5,15
C:\Users\Brandon\eclipse-workspace\Sigma Editor\src\elara\project\ProjectManager.java,315,196,137,8,41,0,78,312,5,15
C:\Users\Brandon\eclipse-workspace\Sigma Editor\src\elara\project\ProjectStructure.java,49,22,8,0,5,0,22,62,5,15
