Folder,Files,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
Total,39,3540,2088,1457,132,542,8,910,3130,105,315
C:\Users\Brandon\eclipse-workspace\Sigma Editor\src,39,3540,2088,1457,132,542,8,910,3130,105,315
C:\Users\Brandon\eclipse-workspace\Sigma Editor\src\elara,39,3540,2088,1457,132,542,8,910,3130,105,315
C:\Users\Brandon\eclipse-workspace\Sigma Editor\src\elara\assets,6,251,134,85,14,37,0,80,233,25,75
C:\Users\Brandon\eclipse-workspace\Sigma Editor\src\elara\editor,26,2362,1514,1102,87,379,8,469,1603,55,165
C:\Users\Brandon\eclipse-workspace\Sigma Editor\src\elara\editor\debug,6,310,165,105,10,60,5,85,386,5,15
C:\Users\Brandon\eclipse-workspace\Sigma Editor\src\elara\editor\input,2,79,48,27,9,11,0,20,44,0,0
C:\Users\Brandon\eclipse-workspace\Sigma Editor\src\elara\editor\rendering,1,49,28,17,1,9,1,12,54,0,0
C:\Users\Brandon\eclipse-workspace\Sigma Editor\src\elara\editor\ui,14,1830,1227,925,61,282,2,321,1031,45,135
C:\Users\Brandon\eclipse-workspace\Sigma Editor\src\elara\editor\ui\customlists,6,342,183,119,9,48,0,111,351,30,90
C:\Users\Brandon\eclipse-workspace\Sigma Editor\src\elara\editor\util,2,73,39,23,6,12,0,22,68,5,15
C:\Users\Brandon\eclipse-workspace\Sigma Editor\src\elara\project,7,927,440,270,31,126,0,361,1294,25,75
